Year,Month,Bitcoin Price ($),Change ($),Month-over-month (%)
2017,6,2407.88,986.28,69.38
2017,5,1421.60,341.10,31.57
2017,4,1080.50,-142,-11.62
2017,3,1222.50,233.48,23.61
2017,2,989.02,-9.30,-0.93
2017,1,998.33,241.55,31.92
2016,12,756.77,26.98,3.70
2016,11,729.79,115.81,18.86
2016,10,613.98,41.68,7.28
2016,9,572.30,-33.97,-5.60
2016,8,606.27,-70.02,-10.35
2016,7,676.30,139.38,25.96
2016,6,536.92,85.04,18.82
2016,5,451.88,33.92,8.11
2016,4,417.96,-17.16,-3.94
2016,3,435.12,62.07,16.64
2016,2,373.06,-61.28,-14.11
2016,1,434.33,71.85,19.82
2015,12,362.49,37.06,11.39
2015,11,325.43,87.88,37
2015,10,237.55,9.43,4.13
2015,9,228.12,-53.48,-18.99
2015,8,281.60,22.98,8.89
2015,7,258.62,35.70,16.01
2015,6,222.93,-9.15,-3.94
2015,5,232.08,-15.19,-6.14
2015,4,247.27,-12.93,-4.97
2015,3,260.20,33.23,14.64
2015,2,226.97,-87.28,-27.77
2015,1,314.25,-65,-17.14
